,2,3,4,5,6,7,8,9,10,11
2,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
3,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
4,Hit,Stand,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
5,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
6,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
7,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
8,Hit,Stand,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
9,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
10,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
11,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
12,Hit,Hit,Stand,Hit,Hit,Hit,Hit,Hit,Hit,Hit
13,Hit,Hit,Stand,Stand,Hit,Hit,Hit,Hit,Hit,Stand
14,Hit,Stand,Stand,Hit,Hit,Hit,Hit,Hit,Hit,Hit
15,Hit,Hit,Stand,Stand,Hit,Hit,Hit,Hit,Hit,Stand
16,Stand,Stand,Hit,Stand,Hit,Stand,Hit,Hit,Hit,Stand
17,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
18,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
19,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
20,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
21,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
